0,"RT @DrEricDing: 5) One dose of the vaccine is insufficient now. Two doses much more protection, but even then there is an 8% attenuation. A…",0,251,2021-06-20 23:59:52
1,"@breakfasttv I received the Astrazeneca vaccine on April 9th. No, I do not regret it! I look forward to getting the Pfizer vaccine on the 28th of this month. I feel confident we will be fully protected. Even if it is unconventional. 😊",0,0,2021-06-20 23:59:37
2,"#Pfizer
#AstraZeneca
#Moderna
#JohnsonAndJohnson 

What's up !  Safe and effective !

⬇️
⬇️ https://t.co/fvw1H8cmXT",3,5,2021-06-20 23:59:33
3,"RT @TimWattsMP: Can you believe this?

The MORRISON GOVERNMENT is chastising THE STATES for ‘under-ordering’ vaccines.

This is same Morris…",0,208,2021-06-20 23:58:46
4,"RT @DrEricDing: 5) One dose of the vaccine is insufficient now. Two doses much more protection, but even then there is an 8% attenuation. A…",0,251,2021-06-20 23:57:54
5,"RT @DrEricDing: 5) One dose of the vaccine is insufficient now. Two doses much more protection, but even then there is an 8% attenuation. A…",0,251,2021-06-20 23:56:29
6,RT @DrEricDing: 13) Vaccine effectiveness against #DeltaVariant according to @PHE_uk — averaging AstraZeneca &amp; Pfizer together (even if dif…,0,90,2021-06-20 23:54:35
7,"RT @james00000001: WHO TO BELIEVE?!
SQott or Canada? 

Morrison, please ask the TGA to approve Pfizer as second dose, ASAP! #auspol #vaccin…",0,32,2021-06-20 23:54:18
8,"RT @ADHDadultlife: Has anyone in the UK had a mix of different #vaccines for the #COVID19 vaccination? 
I.e. AstraZeneca and Pfizer or Mode…",0,1,2021-06-20 23:53:18
9,"RT @TimWattsMP: Can you believe this?

The MORRISON GOVERNMENT is chastising THE STATES for ‘under-ordering’ vaccines.

This is same Morris…",0,208,2021-06-20 23:51:49
10,"Not close to what is really happening with the side effects. However, list of blood clot symptoms then 'could be between 4 days to 4 weeks' if you fall ill.🤬
Potential side effects explained as second dose rollout accelerates

https://t.co/8t0yZzPUFL

Sent via @updayUK",0,0,2021-06-20 23:51:45
11,"RT @freddie1999: Over 1,000 fully #vaccinated Bangalore 🇮🇳 cops test #COVID19 positive. #Bengaluru #Fauci #BillGates #VaccinesWork 😂 😂 #Ind…",0,7,2021-06-20 23:50:55
12,RT @sumthink: Remember when YOUR government and YOUR doctors told you not to wait for Pfizer and it was totally safe and ok to have the Ast…,0,81,2021-06-20 23:50:35
13,"RT @DrEricDing: 5) One dose of the vaccine is insufficient now. Two doses much more protection, but even then there is an 8% attenuation. A…",0,251,2021-06-20 23:50:15
14,"RT @TimWattsMP: Can you believe this?

The MORRISON GOVERNMENT is chastising THE STATES for ‘under-ordering’ vaccines.

This is same Morris…",0,208,2021-06-20 23:48:05
15,"RT @TimWattsMP: Can you believe this?

The MORRISON GOVERNMENT is chastising THE STATES for ‘under-ordering’ vaccines.

This is same Morris…",0,208,2021-06-20 23:47:36
16,"RT @DrEricDing: 5) One dose of the vaccine is insufficient now. Two doses much more protection, but even then there is an 8% attenuation. A…",0,251,2021-06-20 23:47:26
17,"RT @DrEricDing: 5) One dose of the vaccine is insufficient now. Two doses much more protection, but even then there is an 8% attenuation. A…",0,251,2021-06-20 23:46:48
18,"RT @TimWattsMP: Can you believe this?

The MORRISON GOVERNMENT is chastising THE STATES for ‘under-ordering’ vaccines.

This is same Morris…",0,208,2021-06-20 23:46:38
19,". @TheRioTimes , @Folha_english Regading “China's Sinovac and England's AstraZeneca PLC account for about 96% of shots available in the country, 
compared with just 4% for Pfizer, according to government data”, Bazilians should accept AstraZeneca. https://t.co/NiD2mK9Ymd https://t.co/wEmozSuOk5",0,0,2021-06-20 23:45:46
20,"RT @TheRustler83: 3,752 people have died in Scotland, within 28 days of a vaxxine 🏴󠁧󠁢󠁳󠁣󠁴󠁿💉....

1,289 deaths after #Pfizer
2,461 deaths aft…",0,1305,2021-06-20 23:44:53
